Historical Marker Id	Name of the Marker	County	Dedicated Year	Dedicated Month	Dedicated Day Date	Marker Type	Location Description	Marker Description	Status	Longitude	Latitude	Category	Category Counter	LAT/LONG Location
6	Forbes Road - Fort Dewart	Somerset	1952	1	30	Roadside	US 30, New Baltimore, near Bedford County line	The fort on the top of Allegheny Hill was erected in 1758 during the Gen. Forbes expedition against Fort Duquesne. The site is marked half a mile northeast of here, near the head of Breastwork Run.		-78.7674	40.0388	Forts	1	(40.0388, -78.7674)
6	Forbes Road - Fort Dewart	Somerset	1952	1	30	Roadside	US 30, New Baltimore, near Bedford County line	The fort on the top of Allegheny Hill was erected in 1758 during the Gen. Forbes expedition against Fort Duquesne. The site is marked half a mile northeast of here, near the head of Breastwork Run.		-78.7674	40.0388	French & Indian War	2	(40.0388, -78.7674)
6	Forbes Road - Fort Dewart	Somerset	1952	1	30	Roadside	US 30, New Baltimore, near Bedford County line	The fort on the top of Allegheny Hill was erected in 1758 during the Gen. Forbes expedition against Fort Duquesne. The site is marked half a mile northeast of here, near the head of Breastwork Run.		-78.7674	40.0388	Military	3	(40.0388, -78.7674)
6	Forbes Road - Fort Dewart	Somerset	1952	1	30	Roadside	US 30, New Baltimore, near Bedford County line	The fort on the top of Allegheny Hill was erected in 1758 during the Gen. Forbes expedition against Fort Duquesne. The site is marked half a mile northeast of here, near the head of Breastwork Run.		-78.7674	40.0388	Roads	4	(40.0388, -78.7674)
7	Gantz Oil Well	Washington	1953	10	3	City	W. Chestnut St. at Brookside Ave., Washington	Site of first oil well in Washington County. Oil was struck in Dec., 1884. First oil was shipped in 1885; last oil was pumped about 1916. This well led to the development of the Washington oil field.	Missing	-80.2555	40.1712	Business & Industry	1	(40.1712, -80.2555)
7	Gantz Oil Well	Washington	1953	10	3	City	W. Chestnut St. at Brookside Ave., Washington	Site of first oil well in Washington County. Oil was struck in Dec., 1884. First oil was shipped in 1885; last oil was pumped about 1916. This well led to the development of the Washington oil field.	Missing	-80.2555	40.1712	Oil & Gas	2	(40.1712, -80.2555)
8	Market House	York	1954	9	14	City	NE section of Square, Rt. 94 (Baltimore St.) & Frederick St./Broadway, Hanover	Stood on this square from 1815 to 1872. Under the Market, at one end, was the jail. Equipment for fighting fires was kept here. Fairs and other public events were held under its roof.		-76.9828	39.8005	Buildings & Architecture	1	(39.8005, -76.9828)
8	Market House	York	1954	9	14	City	NE section of Square, Rt. 94 (Baltimore St.) & Frederick St./Broadway, Hanover	Stood on this square from 1815 to 1872. Under the Market, at one end, was the jail. Equipment for fighting fires was kept here. Fairs and other public events were held under its roof.		-76.9828	39.8005	Business & Industry	2	(39.8005, -76.9828)
8	Market House	York	1954	9	14	City	NE section of Square, Rt. 94 (Baltimore St.) & Frederick St./Broadway, Hanover	Stood on this square from 1815 to 1872. Under the Market, at one end, was the jail. Equipment for fighting fires was kept here. Fairs and other public events were held under its roof.		-76.9828	39.8005	Houses & Homesteads	3	(39.8005, -76.9828)
8	Market House	York	1954	9	14	City	NE section of Square, Rt. 94 (Baltimore St.) & Frederick St./Broadway, Hanover	Stood on this square from 1815 to 1872. Under the Market, at one end, was the jail. Equipment for fighting fires was kept here. Fairs and other public events were held under its roof.		-76.9828	39.8005	Police and Safety	4	(39.8005, -76.9828)
9	Station WQED	Allegheny	1964	8	20	City	4802 5th Ave., Oakland (Pittsburgh)	Television station, located here, opened April 1954, as first community-sponsored educational television station in America. In 1955 it was the first to telecast classes to elementary schools.		-79.9445	40.4472	Business & Industry	1	(40.4472, -79.9445)
9	Station WQED	Allegheny	1964	8	20	City	4802 5th Ave., Oakland (Pittsburgh)	Television station, located here, opened April 1954, as first community-sponsored educational television station in America. In 1955 it was the first to telecast classes to elementary schools.		-79.9445	40.4472	Education	2	(40.4472, -79.9445)
9	Station WQED	Allegheny	1964	8	20	City	4802 5th Ave., Oakland (Pittsburgh)	Television station, located here, opened April 1954, as first community-sponsored educational television station in America. In 1955 it was the first to telecast classes to elementary schools.		-79.9445	40.4472	Motion Pictures & Television	3	(40.4472, -79.9445)
10	Catawissa Friends Meeting	Columbia	1948	5	8	Roadside	Junction U.S. 11 & Pa. 42, .7 mile SW of Bloomsburg	At Catawissa, three miles distant, is the Friends meetinghouse built about 1790. The log structure is still standing and is a fine example of a pioneer place of worship.		-76.4785	40.9884	Buildings & Architecture	1	(40.9884, -76.4785)
10	Catawissa Friends Meeting	Columbia	1948	5	8	Roadside	Junction U.S. 11 & Pa. 42, .7 mile SW of Bloomsburg	At Catawissa, three miles distant, is the Friends meetinghouse built about 1790. The log structure is still standing and is a fine example of a pioneer place of worship.		-76.4785	40.9884	Early Settlement	2	(40.9884, -76.4785)
10	Catawissa Friends Meeting	Columbia	1948	5	8	Roadside	Junction U.S. 11 & Pa. 42, .7 mile SW of Bloomsburg	At Catawissa, three miles distant, is the Friends meetinghouse built about 1790. The log structure is still standing and is a fine example of a pioneer place of worship.		-76.4785	40.9884	Religion	3	(40.9884, -76.4785)
11	John Morton	Delaware	1967	1	27	Roadside	420 E. Ridley Ave. near Cresswell St., Ridley Park	Site of the birthplace of John Morton (1724-1777), signer of the Declaration of Independence. As delegate to the Continental Congress, his ballot, with that of Franklin and James Wilson, committed Pennsylvania to the cause of independence by one vote.		-75.3185	39.8842	Government & Politics	1	(39.8842, -75.3185)
11	John Morton	Delaware	1967	1	27	Roadside	420 E. Ridley Ave. near Cresswell St., Ridley Park	Site of the birthplace of John Morton (1724-1777), signer of the Declaration of Independence. As delegate to the Continental Congress, his ballot, with that of Franklin and James Wilson, committed Pennsylvania to the cause of independence by one vote.		-75.3185	39.8842	Government & Politics 18th Century	2	(39.8842, -75.3185)
12	Wilkes-Barre Fort	Luzerne	1947	10	13	Roadside	W corner of public sq., Main & Market Sts., Wilkes-Barre	Completed 1778, enclosing the courthouse of the Connecticut county of Westmoreland. Surrendered with Forty Fort to the British in 1778.		-75.8817	41.2962	American Revolution	1	(41.2962, -75.8817)
12	Wilkes-Barre Fort	Luzerne	1947	10	13	Roadside	W corner of public sq., Main & Market Sts., Wilkes-Barre	Completed 1778, enclosing the courthouse of the Connecticut county of Westmoreland. Surrendered with Forty Fort to the British in 1778.		-75.8817	41.2962	Forts	2	(41.2962, -75.8817)
12	Wilkes-Barre Fort	Luzerne	1947	10	13	Roadside	W corner of public sq., Main & Market Sts., Wilkes-Barre	Completed 1778, enclosing the courthouse of the Connecticut county of Westmoreland. Surrendered with Forty Fort to the British in 1778.		-75.8817	41.2962	Military	3	(41.2962, -75.8817)
13	Robert Purvis (1810-1898)	Philadelphia	1992	2	21	City	1601 Mt. Vernon St., Philadelphia	An abolitionist, Purvis fought for the rights of Blacks through his lecturing, writing, and activity in antislavery societies. As an agent for the Underground Railroad, he built a secret area here at his house to hide slaves.		-75.1643	39.9649	African American	1	(39.9649, -75.1643)
13	Robert Purvis (1810-1898)	Philadelphia	1992	2	21	City	1601 Mt. Vernon St., Philadelphia	An abolitionist, Purvis fought for the rights of Blacks through his lecturing, writing, and activity in antislavery societies. As an agent for the Underground Railroad, he built a secret area here at his house to hide slaves.		-75.1643	39.9649	Civil Rights	2	(39.9649, -75.1643)
13	Robert Purvis (1810-1898)	Philadelphia	1992	2	21	City	1601 Mt. Vernon St., Philadelphia	An abolitionist, Purvis fought for the rights of Blacks through his lecturing, writing, and activity in antislavery societies. As an agent for the Underground Railroad, he built a secret area here at his house to hide slaves.		-75.1643	39.9649	Professions & Vocations	3	(39.9649, -75.1643)
13	Robert Purvis (1810-1898)	Philadelphia	1992	2	21	City	1601 Mt. Vernon St., Philadelphia	An abolitionist, Purvis fought for the rights of Blacks through his lecturing, writing, and activity in antislavery societies. As an agent for the Underground Railroad, he built a secret area here at his house to hide slaves.		-75.1643	39.9649	Underground Railroad	4	(39.9649, -75.1643)
13	Robert Purvis (1810-1898)	Philadelphia	1992	2	21	City	1601 Mt. Vernon St., Philadelphia	An abolitionist, Purvis fought for the rights of Blacks through his lecturing, writing, and activity in antislavery societies. As an agent for the Underground Railroad, he built a secret area here at his house to hide slaves.		-75.1643	39.9649	Writers	5	(39.9649, -75.1643)
14	Timothy Matlack	Montgomery	1969	6	4	Roadside	Pawlings Rd. (SR 4004) between Audubon Rd. and Old Mill Rd., across from wildlife sanctuary, Audubon	Revolutionary patriot, state official, and member of Continental Congress, 1780-81. Colonel of a rifle battalion, Philadelphia Associators, 1775-76; served in Battle of Princeton. A founder, Society of Free (or Fighting) Quakers, 1781. Member, Constitutional Convention of Pennsylvania, 1776; secretary of its Supreme Executive Council, 1777-82; and Master of the Rolls, 1800-09. Died April 14, 1829; he was buried in Philadelphia and reinterred near here in 1905.		-75.4396	40.122	American Revolution	1	(40.122, -75.4396)
14	Timothy Matlack	Montgomery	1969	6	4	Roadside	Pawlings Rd. (SR 4004) between Audubon Rd. and Old Mill Rd., across from wildlife sanctuary, Audubon	Revolutionary patriot, state official, and member of Continental Congress, 1780-81. Colonel of a rifle battalion, Philadelphia Associators, 1775-76; served in Battle of Princeton. A founder, Society of Free (or Fighting) Quakers, 1781. Member, Constitutional Convention of Pennsylvania, 1776; secretary of its Supreme Executive Council, 1777-82; and Master of the Rolls, 1800-09. Died April 14, 1829; he was buried in Philadelphia and reinterred near here in 1905.		-75.4396	40.122	Government & Politics	2	(40.122, -75.4396)
14	Timothy Matlack	Montgomery	1969	6	4	Roadside	Pawlings Rd. (SR 4004) between Audubon Rd. and Old Mill Rd., across from wildlife sanctuary, Audubon	Revolutionary patriot, state official, and member of Continental Congress, 1780-81. Colonel of a rifle battalion, Philadelphia Associators, 1775-76; served in Battle of Princeton. A founder, Society of Free (or Fighting) Quakers, 1781. Member, Constitutional Convention of Pennsylvania, 1776; secretary of its Supreme Executive Council, 1777-82; and Master of the Rolls, 1800-09. Died April 14, 1829; he was buried in Philadelphia and reinterred near here in 1905.		-75.4396	40.122	Government & Politics 18th Century	3	(40.122, -75.4396)
14	Timothy Matlack	Montgomery	1969	6	4	Roadside	Pawlings Rd. (SR 4004) between Audubon Rd. and Old Mill Rd., across from wildlife sanctuary, Audubon	Revolutionary patriot, state official, and member of Continental Congress, 1780-81. Colonel of a rifle battalion, Philadelphia Associators, 1775-76; served in Battle of Princeton. A founder, Society of Free (or Fighting) Quakers, 1781. Member, Constitutional Convention of Pennsylvania, 1776; secretary of its Supreme Executive Council, 1777-82; and Master of the Rolls, 1800-09. Died April 14, 1829; he was buried in Philadelphia and reinterred near here in 1905.		-75.4396	40.122	Religion	4	(40.122, -75.4396)
15	Merion Friends Meeting	Montgomery	1967	9	15	City	651 Montgomery Ave. at Meetinghouse Ln., Narberth	Continuously used since its erection in 1695 by Quakers, this Meeting House is thought to have been visited by William Penn. Welsh carpenters are believed responsible for its highly unusual cruciform architecture.		-75.2542	40.0093	Buildings & Architecture	1	(40.0093, -75.2542)
15	Merion Friends Meeting	Montgomery	1967	9	15	City	651 Montgomery Ave. at Meetinghouse Ln., Narberth	Continuously used since its erection in 1695 by Quakers, this Meeting House is thought to have been visited by William Penn. Welsh carpenters are believed responsible for its highly unusual cruciform architecture.		-75.2542	40.0093	Ethnic & Immigration	2	(40.0093, -75.2542)
15	Merion Friends Meeting	Montgomery	1967	9	15	City	651 Montgomery Ave. at Meetinghouse Ln., Narberth	Continuously used since its erection in 1695 by Quakers, this Meeting House is thought to have been visited by William Penn. Welsh carpenters are believed responsible for its highly unusual cruciform architecture.		-75.2542	40.0093	Religion	3	(40.0093, -75.2542)
15	Merion Friends Meeting	Montgomery	1967	9	15	City	651 Montgomery Ave. at Meetinghouse Ln., Narberth	Continuously used since its erection in 1695 by Quakers, this Meeting House is thought to have been visited by William Penn. Welsh carpenters are believed responsible for its highly unusual cruciform architecture.		-75.2542	40.0093	William Penn	4	(40.0093, -75.2542)
16	Mill Grove	Montgomery	1970	10	9	Roadside	Entrance to Audubon Wildlife Sanctuary, Audubon & Pawlings Rds. (SR 4041 & 4004), Audubon	Originally built in 1762, the mansion later became the first home in America of the noted artist, naturalist and author, John James Audubon (1785-1851). Here, he began his studies of American birds and wildlife, which he portrayed so vividly in his numerous realistic paintings. The site is now owned and operated by the County of Montgomery.		-75.4371	40.1234	Artists	1	(40.1234, -75.4371)
16	Mill Grove	Montgomery	1970	10	9	Roadside	Entrance to Audubon Wildlife Sanctuary, Audubon & Pawlings Rds. (SR 4041 & 4004), Audubon	Originally built in 1762, the mansion later became the first home in America of the noted artist, naturalist and author, John James Audubon (1785-1851). Here, he began his studies of American birds and wildlife, which he portrayed so vividly in his numerous realistic paintings. The site is now owned and operated by the County of Montgomery.		-75.4371	40.1234	Buildings & Architecture	2	(40.1234, -75.4371)
16	Mill Grove	Montgomery	1970	10	9	Roadside	Entrance to Audubon Wildlife Sanctuary, Audubon & Pawlings Rds. (SR 4041 & 4004), Audubon	Originally built in 1762, the mansion later became the first home in America of the noted artist, naturalist and author, John James Audubon (1785-1851). Here, he began his studies of American birds and wildlife, which he portrayed so vividly in his numerous realistic paintings. The site is now owned and operated by the County of Montgomery.		-75.4371	40.1234	Environment	3	(40.1234, -75.4371)
16	Mill Grove	Montgomery	1970	10	9	Roadside	Entrance to Audubon Wildlife Sanctuary, Audubon & Pawlings Rds. (SR 4041 & 4004), Audubon	Originally built in 1762, the mansion later became the first home in America of the noted artist, naturalist and author, John James Audubon (1785-1851). Here, he began his studies of American birds and wildlife, which he portrayed so vividly in his numerous realistic paintings. The site is now owned and operated by the County of Montgomery.		-75.4371	40.1234	Mansions & Manors	4	(40.1234, -75.4371)
16	Mill Grove	Montgomery	1970	10	9	Roadside	Entrance to Audubon Wildlife Sanctuary, Audubon & Pawlings Rds. (SR 4041 & 4004), Audubon	Originally built in 1762, the mansion later became the first home in America of the noted artist, naturalist and author, John James Audubon (1785-1851). Here, he began his studies of American birds and wildlife, which he portrayed so vividly in his numerous realistic paintings. The site is now owned and operated by the County of Montgomery.		-75.4371	40.1234	Writers	5	(40.1234, -75.4371)
17	Lucretia C. Mott	Montgomery	1974	5	1	Roadside	PA 611 at Latham Pkwy., N of Cheltenham Ave., Elkins Park	Nearby stood Roadside, the home of the ardent Quakeress, Lucretia C. Mott (1793-1880). Her most notable work was in connection with antislavery, women's rights, temperance and peace.		-75.1355	40.0644	Civil Rights	1	(40.0644, -75.1355)
17	Lucretia C. Mott	Montgomery	1974	5	1	Roadside	PA 611 at Latham Pkwy., N of Cheltenham Ave., Elkins Park	Nearby stood Roadside, the home of the ardent Quakeress, Lucretia C. Mott (1793-1880). Her most notable work was in connection with antislavery, women's rights, temperance and peace.		-75.1355	40.0644	Government & Politics	2	(40.0644, -75.1355)
17	Lucretia C. Mott	Montgomery	1974	5	1	Roadside	PA 611 at Latham Pkwy., N of Cheltenham Ave., Elkins Park	Nearby stood Roadside, the home of the ardent Quakeress, Lucretia C. Mott (1793-1880). Her most notable work was in connection with antislavery, women's rights, temperance and peace.		-75.1355	40.0644	Government & Politics 19th Century	3	(40.0644, -75.1355)
17	Lucretia C. Mott	Montgomery	1974	5	1	Roadside	PA 611 at Latham Pkwy., N of Cheltenham Ave., Elkins Park	Nearby stood Roadside, the home of the ardent Quakeress, Lucretia C. Mott (1793-1880). Her most notable work was in connection with antislavery, women's rights, temperance and peace.		-75.1355	40.0644	Religion	4	(40.0644, -75.1355)
17	Lucretia C. Mott	Montgomery	1974	5	1	Roadside	PA 611 at Latham Pkwy., N of Cheltenham Ave., Elkins Park	Nearby stood Roadside, the home of the ardent Quakeress, Lucretia C. Mott (1793-1880). Her most notable work was in connection with antislavery, women's rights, temperance and peace.		-75.1355	40.0644	Underground Railroad	5	(40.0644, -75.1355)
17	Lucretia C. Mott	Montgomery	1974	5	1	Roadside	PA 611 at Latham Pkwy., N of Cheltenham Ave., Elkins Park	Nearby stood Roadside, the home of the ardent Quakeress, Lucretia C. Mott (1793-1880). Her most notable work was in connection with antislavery, women's rights, temperance and peace.		-75.1355	40.0644	Women	6	(40.0644, -75.1355)
18	Work Accidents and the Law (1910)	Allegheny	2008	4	28	City	Market Square near PPG Place, Pittsburgh	The pioneering study of industrial conditions in Allegheny County by Crystal Eastman documented 526 workplace deaths in one year. A component of the land-mark Pittsburgh Survey, it led to industrial accident prevention programs and workers' compensation laws.		-80.0029	40.4401	Business & Industry	1	(40.4401, -80.0029)
18	Work Accidents and the Law (1910)	Allegheny	2008	4	28	City	Market Square near PPG Place, Pittsburgh	The pioneering study of industrial conditions in Allegheny County by Crystal Eastman documented 526 workplace deaths in one year. A component of the land-mark Pittsburgh Survey, it led to industrial accident prevention programs and workers' compensation laws.		-80.0029	40.4401	Government & Politics 20th Century	2	(40.4401, -80.0029)
18	Work Accidents and the Law (1910)	Allegheny	2008	4	28	City	Market Square near PPG Place, Pittsburgh	The pioneering study of industrial conditions in Allegheny County by Crystal Eastman documented 526 workplace deaths in one year. A component of the land-mark Pittsburgh Survey, it led to industrial accident prevention programs and workers' compensation laws.		-80.0029	40.4401	Labor	3	(40.4401, -80.0029)
18	Work Accidents and the Law (1910)	Allegheny	2008	4	28	City	Market Square near PPG Place, Pittsburgh	The pioneering study of industrial conditions in Allegheny County by Crystal Eastman documented 526 workplace deaths in one year. A component of the land-mark Pittsburgh Survey, it led to industrial accident prevention programs and workers' compensation laws.		-80.0029	40.4401	Women	4	(40.4401, -80.0029)
18	Work Accidents and the Law (1910)	Allegheny	2008	4	28	City	Market Square near PPG Place, Pittsburgh	The pioneering study of industrial conditions in Allegheny County by Crystal Eastman documented 526 workplace deaths in one year. A component of the land-mark Pittsburgh Survey, it led to industrial accident prevention programs and workers' compensation laws.		-80.0029	40.4401	Writers	5	(40.4401, -80.0029)
19	Muhlenberg Home	Montgomery	1963	10	3	Roadside	Main St. (old US 422) near W 3rd Ave., Trappe (Missing)	Large house to the SE built by Henry Melchior Muhlenberg, 1745. Of 11 children, 8 were born here, among them Peter, Revolutionary General, Congressman; Frederick A., 1st Speaker, U.S. House, 1st Judge, Montgomery County Court; Henry Ernest, botanist, 1st President of Franklin College, Lancaster.	Missing	-75.4699	40.1963	Education	1	(40.1963, -75.4699)
19	Muhlenberg Home	Montgomery	1963	10	3	Roadside	Main St. (old US 422) near W 3rd Ave., Trappe (Missing)	Large house to the SE built by Henry Melchior Muhlenberg, 1745. Of 11 children, 8 were born here, among them Peter, Revolutionary General, Congressman; Frederick A., 1st Speaker, U.S. House, 1st Judge, Montgomery County Court; Henry Ernest, botanist, 1st President of Franklin College, Lancaster.	Missing	-75.4699	40.1963	Government & Politics	2	(40.1963, -75.4699)
19	Muhlenberg Home	Montgomery	1963	10	3	Roadside	Main St. (old US 422) near W 3rd Ave., Trappe (Missing)	Large house to the SE built by Henry Melchior Muhlenberg, 1745. Of 11 children, 8 were born here, among them Peter, Revolutionary General, Congressman; Frederick A., 1st Speaker, U.S. House, 1st Judge, Montgomery County Court; Henry Ernest, botanist, 1st President of Franklin College, Lancaster.	Missing	-75.4699	40.1963	Government & Politics 18th Century	3	(40.1963, -75.4699)
20	Muhlenberg House	Montgomery	1960	4	28	City	201 Main St. (old US 422), near W 3rd Ave., Trappe	In this house Henry Melchior Muhlenberg, great Lutheran leader, lived from 1776 until his death in 1787. His son Peter Muhlenberg, a noted general of the American Revolution, lived here 1783-1802.		-75.4699	40.1964	American Revolution	1	(40.1964, -75.4699)
20	Muhlenberg House	Montgomery	1960	4	28	City	201 Main St. (old US 422), near W 3rd Ave., Trappe	In this house Henry Melchior Muhlenberg, great Lutheran leader, lived from 1776 until his death in 1787. His son Peter Muhlenberg, a noted general of the American Revolution, lived here 1783-1802.		-75.4699	40.1964	Religion	2	(40.1964, -75.4699)
21	New Goschenhoppen Reformed Church	Montgomery	1952	8	26	Roadside	Goschenhoppen Church Rd. at Church R (SR 1042), W of East Greenville	Organized as a congregation in 1727 with George Michael Weiss as first pastor. Of the Reformed Churches in the U. S., it has the oldest existing register. Ancestors of Gov. John S. Fisher are among the many pioneer settlers buried in the first churchyard.		-75.5135	40.3988	Buildings & Architecture	1	(40.3988, -75.5135)
21	New Goschenhoppen Reformed Church	Montgomery	1952	8	26	Roadside	Goschenhoppen Church Rd. at Church R (SR 1042), W of East Greenville	Organized as a congregation in 1727 with George Michael Weiss as first pastor. Of the Reformed Churches in the U. S., it has the oldest existing register. Ancestors of Gov. John S. Fisher are among the many pioneer settlers buried in the first churchyard.		-75.5135	40.3988	Religion	2	(40.3988, -75.5135)
22	New Hanover Lutheran Church	Montgomery	1950	9	8	Roadside	Swamp Pike (county highway), at Lutheran Rd., near Gilbertsville Golf Course, .2 mile SE of New Hanover	The first German Lutheran Church in America; organized by Daniel Falckner about 1700. From 1742 to 1761 Henry Melchior Muhlenberg served as pastor. Present building, one-quarter mile NE, was erected in 1767.		-75.5817	40.2979	Buildings & Architecture	1	(40.2979, -75.5817)
22	New Hanover Lutheran Church	Montgomery	1950	9	8	Roadside	Swamp Pike (county highway), at Lutheran Rd., near Gilbertsville Golf Course, .2 mile SE of New Hanover	The first German Lutheran Church in America; organized by Daniel Falckner about 1700. From 1742 to 1761 Henry Melchior Muhlenberg served as pastor. Present building, one-quarter mile NE, was erected in 1767.		-75.5817	40.2979	Ethnic & Immigration	2	(40.2979, -75.5817)
22	New Hanover Lutheran Church	Montgomery	1950	9	8	Roadside	Swamp Pike (county highway), at Lutheran Rd., near Gilbertsville Golf Course, .2 mile SE of New Hanover	The first German Lutheran Church in America; organized by Daniel Falckner about 1700. From 1742 to 1761 Henry Melchior Muhlenberg served as pastor. Present building, one-quarter mile NE, was erected in 1767.		-75.5817	40.2979	Religion	3	(40.2979, -75.5817)
23	Perkiomen Bridge	Montgomery	1947	9	4	Roadside	E Main St. / Ridge Pike (SR 4031 / old US 422) at bridge, E end of Collegeville	Built in 1799, it is one of the oldest bridges still in use in the State. A lottery was authorized by a 1797 law to raise $20,000 for its construction.		-75.4473	40.184	Bridges	1	(40.184, -75.4473)
